자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2022.07.22.00,230,194,350,386,563,476,518,622,320,411,692,752,508,623,601,902,522,276,625,637,807,724,876,1130,656
2022.07.21.00,259,212,410,452,543,471,526,698,340,415,842,751,547,689,642,874,514,310,637,656,916,787,992,1230,807
2022.07.20.00,242,201,412,454,650,486,557,684,390,426,822,786,586,748,714,991,648,252,662,669,836,873,1083,1054,716
2022.07.19.00,297,214,471,498,575,582,584,767,384,486,889,774,557,768,729,1055,630,315,775,754,880,732,1096,1364,835
2022.07.18.00,65,43,98,99,126,152,120,163,91,149,308,289,153,202,192,342,117,72,151,183,232,281,356,408,230
2022.07.17.00,133,120,203,254,322,241,248,337,180,219,440,394,261,414,425,575,266,126,328,334,461,439,534,505,383
2022.07.16.00,127,116,222,239,316,286,297,394,173,292,439,439,322,373,441,533,308,157,368,352,482,415,559,736,476
2022.07.15.00,154,116,192,204,298,257,235,309,173,237,438,492,278,421,369,587,337,146,337,368,435,429,514,587,395
2022.07.14.00,141,134,263,241,332,287,292,354,206,258,450,406,304,427,400,560,341,162,364,381,480,529,595,718,369
2022.07.13.00,146,124,247,243,300,283,272,335,177,229,396,460,319,452,385,590,307,152,364,363,513,524,549,593,401
2022.07.12.00,142,127,256,256,301,278,286,309,153,228,411,311,353,464,375,614,344,148,404,406,458,434,607,752,376
2022.07.11.00,23,31,55,56,121,68,41,90,43,92,161,147,84,132,144,193,60,22,92,108,113,152,186,205,99
2022.07.10.00,79,75,121,167,158,132,133,234,105,118,228,283,173,212,230,384,183,72,226,198,291,290,355,368,208
2022.07.09.00,64,64,124,134,172,122,129,198,109,106,213,221,175,237,221,324,141,78,208,190,199,258,313,364,172
2022.07.08.00,75,68,112,150,161,136,106,167,90,112,216,216,168,220,217,244,147,60,164,160,248,231,325,327,156
2022.07.07.00,64,58,111,121,151,137,97,170,92,97,184,194,159,218,181,287,171,59,212,175,214,251,305,383,169
2022.07.06.00,101,70,112,131,146,128,120,223,91,126,200,208,163,229,195,310,135,72,185,190,235,234,335,349,174
2022.07.05.00,83,52,150,154,176,151,133,187,92,99,213,143,171,218,181,298,176,62,205,173,215,195,349,378,195
2022.07.04.00,22,6,56,30,42,34,16,34,17,32,59,74,29,51,60,87,28,10,33,44,49,42,101,98,52
2022.07.03.00,31,30,42,78,98,58,46,103,58,72,114,80,78,130,109,158,85,42,102,114,154,132,139,206,73
2022.07.02.00,31,39,146,59,88,58,81,121,44,52,133,112,92,146,100,131,96,27,123,93,140,128,215,230,118
2022.07.01.00,30,26,86,61,83,64,53,84,38,48,84,86,62,117,106,148,78,39,97,91,130,121,163,183,90
2022.06.30.00,33,38,68,65,90,57,52,97,35,46,105,85,68,108,101,123,93,30,111,77,108,131,163,169,87
2022.06.29.00,34,47,89,77,77,75,55,104,57,44,110,78,61,122,84,156,76,27,119,88,132,126,202,171,92
2022.06.28.00,41,45,84,86,105,59,63,103,73,51,107,52,72,135,82,166,61,47,101,98,126,108,172,183,99
2022.06.27.00,6,12,23,15,17,16,8,22,12,7,32,23,17,28,23,47,11,7,25,20,24,42,50,53,24
2022.06.26.00,21,28,26,36,57,25,38,57,26,26,69,66,38,57,56,91,29,19,47,47,57,78,111,94,50
2022.06.25.00,30,30,33,52,57,28,39,66,39,46,55,47,55,90,52,87,55,24,53,47,87,73,125,106,61
2022.06.24.00,31,11,56,44,60,34,40,59,34,24,47,62,36,82,60,85,87,30,59,64,77,76,111,143,69
2022.06.23.00,18,30,36,42,63,46,40,63,30,34,68,64,48,75,72,89,41,27,52,66,64,87,108,123,58
2022.06.22.00,28,32,54,30,52,40,46,80,47,41,67,69,44,72,68,114,61,20,75,76,116,101,112,134,64
2022.06.21.00,27,21,59,46,91,55,69,96,42,36,103,51,54,107,76,102,59,55,83,70,89,95,148,204,74
2022.06.20.00,9,14,18,24,22,17,19,23,13,18,34,37,14,29,43,54,32,16,32,15,28,36,63,63,21
2022.06.19.00,12,14,27,28,39,26,34,41,24,20,34,36,24,55,51,91,28,23,44,46,64,73,94,88,41
2022.06.18.00,22,17,31,37,37,27,34,61,23,23,47,42,37,67,46,58,24,20,52,54,51,65,100,111,51
2022.06.17.00,22,16,27,22,42,29,32,52,14,24,57,45,38,59,58,84,42,20,58,50,78,78,85,94,50
2022.06.16.00,9,18,31,40,59,34,37,62,30,32,71,58,54,60,81,111,43,28,68,46,76,73,110,112,82
2022.06.15.00,27,22,53,38,53,33,55,68,20,38,55,80,46,80,68,113,48,27,88,73,93,86,123,117,68
2022.06.14.00,20,18,55,51,54,55,61,69,34,43,76,70,58,72,82,100,53,31,73,78,64,85,122,139,74
2022.06.13.00,7,11,14,13,14,17,23,25,12,12,33,49,22,31,20,37,6,8,20,36,19,53,58,49,30
2022.06.12.00,12,16,45,32,30,21,50,43,20,31,59,41,27,50,66,55,43,18,56,54,51,35,77,91,57
2022.06.11.00,16,20,35,30,46,30,54,55,39,35,65,47,52,77,51,85,40,27,58,55,69,65,75,87,64
2022.06.10.00,23,12,52,41,52,37,38,59,30,40,50,62,41,79,48,93,50,36,68,65,78,69,103,113,57
2022.06.09.00,21,18,46,58,63,60,80,79,38,36,94,123,78,92,92,110,55,39,85,79,95,91,122,136,75
2022.06.08.00,47,43,63,81,103,101,78,105,55,52,110,67,93,141,95,166,84,144,111,106,102,95,159,162,103
2022.06.07.00,17,8,26,39,24,27,29,50,17,23,48,57,28,38,38,67,23,14,21,47,41,50,69,57,39
2022.06.06.00,6,12,15,13,18,21,31,29,8,19,33,32,42,26,31,58,13,17,21,36,25,56,57,48,28
2022.06.05.00,26,31,40,59,47,45,52,66,37,42,58,87,50,72,67,106,60,43,77,84,102,72,111,128,67
2022.06.04.00,32,19,107,109,75,52,77,95,36,41,189,136,82,74,79,118,67,42,62,78,73,120,143,106,76
2022.06.03.00,30,21,71,188,54,76,70,168,53,50,253,94,96,76,71,101,56,26,90,87,112,116,120,139,83
2022.06.02.00,24,14,33,103,50,69,31,103,32,24,108,122,53,66,56,95,41,17,41,51,77,89,217,120,82
2022.06.01.00,37,28,62,84,105,145,92,250,49,75,163,116,68,98,108,137,64,50,85,92,140,130,311,146,105
2022.05.31.00,31,40,90,157,106,132,84,211,61,68,254,106,121,124,93,150,138,47,120,118,140,130,256,187,137
2022.05.30.00,8,8,16,46,21,81,18,21,17,22,79,155,29,41,33,63,15,12,34,25,36,50,128,45,54
2022.05.29.00,18,16,60,55,63,58,59,82,42,69,127,101,48,71,93,98,69,43,78,63,99,97,172,135,107
2022.05.28.00,43,37,70,54,77,70,59,75,44,57,102,122,74,80,110,124,83,41,97,86,90,112,160,120,90
2022.05.27.00,36,33,130,83,91,88,96,75,46,64,134,124,83,97,111,141,109,42,102,93,123,143,485,197,117
2022.05.26.00,46,36,82,73,95,82,100,102,64,66,124,120,104,111,129,143,101,42,121,99,147,138,173,168,122
2022.05.25.00,60,34,107,64,124,108,98,135,72,78,194,154,119,142,178,180,136,59,152,156,182,176,231,235,131
2022.05.24.00,73,57,117,131,141,143,149,179,113,131,204,155,129,164,130,235,140,76,172,177,215,188,247,331,184
2022.05.23.00,15,8,21,32,38,55,22,36,36,25,57,44,37,57,67,85,32,18,45,37,68,64,103,86,56
2022.05.22.00,25,27,71,79,87,88,91,126,76,94,159,177,90,136,146,172,100,62,114,104,133,115,129,201,136
2022.05.21.00,59,33,74,96,122,114,107,122,97,93,171,164,108,160,146,187,146,83,118,135,173,188,206,265,131
2022.05.20.00,44,46,81,103,123,116,125,162,109,124,198,198,133,173,211,212,136,86,166,181,199,183,219,283,191
2022.05.19.00,75,48,91,126,151,156,149,184,115,127,245,214,134,166,205,280,178,99,160,185,204,176,263,305,195
2022.05.18.00,69,72,111,131,175,188,151,231,133,154,221,235,143,221,202,243,199,133,190,222,238,215,276,290,206
2022.05.17.00,87,64,132,161,219,165,201,233,137,155,333,226,185,215,257,303,234,150,250,266,292,234,317,386,297
2022.05.16.00,16,13,34,50,46,55,57,59,30,42,102,142,57,66,89,144,34,13,53,59,90,105,86,98,47
2022.05.15.00,45,43,86,159,145,129,110,172,96,138,220,140,124,166,227,247,141,97,154,145,179,185,219,250,190
2022.05.14.00,71,55,110,183,176,146,143,178,119,122,252,238,138,192,240,253,139,102,205,197,207,182,274,340,168
2022.05.13.00,55,66,142,124,218,156,205,233,117,134,273,222,167,207,283,283,206,107,189,183,222,234,281,330,210
2022.05.12.00,70,63,152,166,232,168,203,236,139,139,274,253,177,197,248,378,192,122,241,204,274,227,247,396,294
2022.05.11.00,81,70,141,145,207,211,227,263,126,167,291,338,213,211,269,309,233,143,260,279,291,329,353,346,252
2022.05.10.00,92,99,191,232,304,248,295,344,168,247,470,238,264,310,357,479,309,194,376,349,379,305,496,517,395
2022.05.09.00,25,16,34,89,86,75,67,93,44,78,162,175,101,115,123,163,61,32,99,103,135,149,210,180,134
2022.05.08.00,79,72,131,156,198,166,217,239,112,153,322,237,176,257,400,291,264,117,210,225,305,282,331,390,314
2022.05.07.00,73,95,156,202,247,273,216,268,170,224,360,241,215,265,247,354,243,162,313,290,306,274,357,423,296
2022.05.06.00,33,41,70,96,135,72,104,149,89,86,214,217,127,119,169,255,109,55,117,152,174,171,205,216,177
2022.05.05.00,109,98,169,177,257,195,226,260,151,190,335,314,237,282,312,310,227,104,245,282,342,306,353,399,289
2022.05.04.00,81,119,151,219,237,234,236,345,192,245,359,411,239,280,356,403,272,140,282,323,313,349,369,415,337
2022.05.03.00,133,125,177,246,314,310,337,333,223,255,494,265,262,333,366,534,366,216,349,360,452,358,462,527,345
2022.05.02.00,22,17,34,82,95,86,79,93,57,72,127,158,73,134,111,191,79,36,82,100,123,150,163,189,136
2022.05.01.00,53,53,111,126,215,200,204,239,135,157,266,285,175,222,317,284,200,130,214,221,279,210,293,345,220
2022.04.30.00,74,66,117,180,211,204,245,271,178,167,289,242,192,252,276,475,238,130,228,260,273,319,378,424,311
2022.04.29.00,101,121,175,215,251,224,276,320,231,211,367,383,219,299,349,373,273,201,261,255,407,299,472,484,412
2022.04.28.00,99,119,153,233,301,290,326,412,239,236,474,396,248,351,401,467,347,189,391,373,458,401,486,596,465
2022.04.27.00,143,115,249,268,377,319,402,483,282,315,561,622,303,417,487,621,476,244,488,389,573,557,666,761,493
2022.04.26.00,178,175,314,429,450,468,530,571,330,398,790,488,395,586,501,735,558,329,559,530,668,495,641,893,665
2022.04.25.00,55,39,83,110,157,168,149,188,108,138,247,316,136,178,236,322,141,75,161,155,222,239,314,286,250
2022.04.24.00,107,124,232,286,340,301,358,448,272,278,549,432,303,384,500,564,517,227,411,385,560,493,559,706,538
2022.04.23.00,137,159,275,371,437,361,427,468,272,322,581,596,378,499,586,735,529,250,476,508,583,480,639,804,532
2022.04.22.00,170,166,278,353,453,445,456,542,343,415,708,499,411,579,590,790,533,269,505,517,647,535,660,801,587
2022.04.21.00,183,159,315,436,542,462,543,630,368,420,739,636,481,638,711,913,581,350,603,602,822,603,767,915,669
2022.04.20.00,245,182,375,511,576,549,667,817,381,524,808,932,580,694,831,1021,825,442,805,779,924,755,902,1142,781
2022.04.19.00,245,265,455,664,722,663,761,928,661,714,1304,813,615,889,897,1292,851,578,887,836,1073,773,1090,1476,1086
2022.04.18.00,76,43,126,153,219,246,231,252,128,225,389,450,220,302,360,532,223,121,271,284,330,489,400,559,333
2022.04.17.00,166,137,318,390,540,481,532,620,360,458,789,768,534,554,740,875,581,334,556,602,752,548,740,924,729
2022.04.16.00,210,170,329,515,644,637,623,668,473,503,970,918,519,684,866,1231,773,397,716,684,854,706,956,1069,864
2022.04.15.00,261,228,429,609,674,689,767,872,567,700,1072,884,618,762,1050,1198,838,504,917,911,1044,828,1108,1288,1178
