자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2021.11.13.00,25,16,13,26,19,51,21,44,31,31,55,58,37,20,34,51,63,31,44,25,78,34,39,46,52
2021.11.12.00,13,16,19,18,25,31,31,50,26,42,42,51,29,22,36,67,43,21,64,28,59,22,31,52,50
2021.11.11.00,13,18,16,25,27,59,27,40,28,36,83,31,25,24,33,50,58,18,64,23,59,50,30,70,50
2021.11.10.00,22,16,19,24,20,71,40,27,25,21,45,38,20,34,37,52,64,25,57,29,51,25,39,72,50
2021.11.09.00,7,15,10,25,14,41,24,28,20,15,32,28,12,18,36,29,31,27,41,22,35,22,41,40,27
2021.11.08.00,6,12,10,16,23,24,27,21,22,18,36,42,19,17,20,29,50,19,49,19,42,26,31,46,34
2021.11.07.00,12,9,12,19,24,42,27,38,18,31,45,44,12,17,31,37,48,48,49,17,54,28,34,58,53
2021.11.06.00,12,19,15,24,22,40,27,35,29,40,46,53,19,14,30,46,66,40,49,28,57,38,25,51,40
2021.11.05.00,15,21,18,20,21,56,23,45,27,36,49,40,18,27,31,54,74,53,64,28,48,29,24,63,28
2021.11.04.00,14,14,18,16,26,57,31,49,29,17,53,46,20,22,28,44,64,37,67,31,55,21,30,62,40
2021.11.03.00,17,12,15,25,20,45,27,55,42,17,31,46,32,28,31,58,75,31,72,35,65,25,33,56,55
2021.11.02.00,3,8,11,14,14,21,18,61,28,19,17,16,18,21,34,15,41,19,23,18,37,17,24,31,27
2021.11.01.00,6,19,10,5,12,37,21,44,28,19,27,16,16,18,38,24,35,19,43,20,35,21,21,46,38
2021.10.31.00,12,19,17,15,16,40,19,52,29,11,35,20,13,21,25,29,68,16,49,32,44,16,25,51,40
2021.10.30.00,10,19,9,16,14,57,15,36,28,24,37,20,8,23,22,37,38,18,51,24,47,16,25,39,39
2021.10.29.00,18,15,15,27,22,47,18,30,31,41,35,20,8,26,11,30,51,30,44,20,34,23,21,48,49
2021.10.28.00,17,13,9,20,19,52,17,27,26,39,41,13,17,19,17,21,54,34,44,20,34,17,49,61,62
2021.10.27.00,12,12,19,18,17,27,16,38,28,31,44,31,10,16,17,26,62,18,34,25,40,32,28,41,42
2021.10.26.00,13,5,4,15,16,15,8,25,6,13,28,10,7,12,17,26,28,8,33,16,19,20,25,17,17
